"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorLevenshtein record1Value","[0] CompanyNameComparatorLevenshtein record2Value","[0] CompanyNameComparatorLevenshtein record1PreprocessedValue","[0] CompanyNameComparatorLevenshtein record2PreprocessedValue","[0] CompanyNameComparatorLevenshtein similarity","[0] CompanyNameComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1469","0.2272727272727273",,"Legal Science Partners","Celanese","Legal Science Partners","Celanese","0.2272727272727273","0.2272727272727273"
"LinearCombinationMatchingRule","us_companies_id_1401","fortune_500_id_1117","0.09999999999999998",,"Relationship Science","Paccar","Relationship Science","Paccar","0.09999999999999998","0.09999999999999998"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1342","0.1875",,"Municode","Eastman Chemical","Municode","Eastman Chemical","0.1875","0.1875"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1024","0.1333333333333333",,"Ecodesk","Bank of America","Ecodesk","Bank of America","0.1333333333333333","0.1333333333333333"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1102","0.0",,"Municode","3M","Municode","3M","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1348","fortune_500_id_1140","0.11111111111111116",,"Panjiva","Southwest Airlines","Panjiva","Southwest Airlines","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1235","fortune_500_id_1376","0.09999999999999998",,"Innography","Oshkosh","Innography","Oshkosh","0.09999999999999998","0.09999999999999998"
"LinearCombinationMatchingRule","us_companies_id_1239","fortune_500_id_1024","0.19999999999999996",,"Intelius","Bank of America","Intelius","Bank of America","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","us_companies_id_1445","fortune_500_id_1480","0.15000000000000002",,"Sterling Infosystems","Olin","Sterling Infosystems","Olin","0.15000000000000002","0.15000000000000002"
"LinearCombinationMatchingRule","us_companies_id_1490","fortune_500_id_1469","0.0",,"USSearch","Celanese","USSearch","Celanese","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1208","0.0714285714285714",,"Urban Airship","PPG Industries","Urban Airship","PPG Industries","0.0714285714285714","0.0714285714285714"
"LinearCombinationMatchingRule","us_companies_id_1080","fortune_500_id_1024","0.06666666666666665",,"CGI","Bank of America","CGI","Bank of America","0.06666666666666665","0.06666666666666665"
"LinearCombinationMatchingRule","us_companies_id_1445","fortune_500_id_1243","0.25",,"Sterling Infosystems","State Street","Sterling Infosystems","State Street","0.25","0.25"
"LinearCombinationMatchingRule","us_companies_id_1252","fortune_500_id_1179","0.125",,"Jurispect","Sherwin-Williams","Jurispect","Sherwin-Williams","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1212","0.13636363636363635",,"Legal Science Partners","Ecolab","Legal Science Partners","Ecolab","0.13636363636363635","0.13636363636363635"
"LinearCombinationMatchingRule","us_companies_id_1307","fortune_500_id_1430","0.07692307692307687",,"MuckRock.com","Owens Corning","MuckRock.com","Owens Corning","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1216","0.13636363636363635",,"Legal Science Partners","Truist Financial","Legal Science Partners","Truist Financial","0.13636363636363635","0.13636363636363635"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1480","0.13636363636363635",,"Legal Science Partners","Olin","Legal Science Partners","Olin","0.13636363636363635","0.13636363636363635"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1117","0.125",,"Municode","Paccar","Municode","Paccar","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1239","fortune_500_id_1499","0.19047619047619047",,"Intelius","Huntington Bancshares","Intelius","Huntington Bancshares","0.19047619047619047","0.19047619047619047"
"LinearCombinationMatchingRule","us_companies_id_1239","fortune_500_id_1016","0.0714285714285714",,"Intelius","JPMorgan Chase","Intelius","JPMorgan Chase","0.0714285714285714","0.0714285714285714"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1354","0.125",,"Municode","Air Products & Chemicals","Municode","Air Products & Chemicals","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1112","0.16666666666666663",,"Municode","U.S. Bancorp","Municode","U.S. Bancorp","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1355","0.25",,"Municode","Mosaic","Municode","Mosaic","0.25","0.25"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1243","0.2272727272727273",,"Legal Science Partners","State Street","Legal Science Partners","State Street","0.2272727272727273","0.2272727272727273"
