"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Name","0.0","Name-{top_2000_id_1777+us_companies_id_1281+us_companies_id_1347}","top_2000_id_1777+us_companies_id_1281+us_companies_id_1347","{Agilent Technologies|LOVELAND Technologies|Palantir Technologies}","Agilent Technologies",,
"Industry","0.0","Industry-{fortune_500_id_1035+us_companies_id_1444}","fortune_500_id_1035+us_companies_id_1444","{Insurance: Property and Casualty (Mutual)|Insurance}","Insurance","true","Insurance"
"Assets","1.0","Assets-{top_2000_id_1777+us_companies_id_1281+us_companies_id_1347}","top_2000_id_1777+us_companies_id_1281+us_companies_id_1347","{0.0|0.0|0.0}","0.0",,
"Revenue","0.5","Revenue-{top_2000_id_1482+us_companies_id_1399}","top_2000_id_1482+us_companies_id_1399","{0.0|0.0}","0.0","true","0.0"
"Assets","0.5","Assets-{top_2000_id_1516+us_companies_id_1178}","top_2000_id_1516+us_companies_id_1178","{0.0|0.0}","0.0",,
"Assets","1.0","Assets-{top_2000_id_1312+us_companies_id_1400}","top_2000_id_1312+us_companies_id_1400","{0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1249}","us_companies_id_1249","{Not reported by company}","Not reported by company","true","Not reported by company"
"Hqcity","0.5","Hqcity-{fortune_500_id_1035+us_companies_id_1444}","fortune_500_id_1035+us_companies_id_1444","{Bloomington|Bloomington}","Bloomington","true","Bloomington"
"Assets","0.3333333333333333","Assets-{fortune_500_id_1005+top_2000_id_1009+us_companies_id_1044}","fortune_500_id_1005+top_2000_id_1009+us_companies_id_1044","{0.0|0.0|0.0}","0.0","true","0.0"
"Marketvalue","0.0","Marketvalue-{top_2000_id_2528+us_companies_id_1461}","top_2000_id_2528+us_companies_id_1461","{3.1|0.0}","0.0",,
"Website","1.0","Website-{us_companies_id_1085}","us_companies_id_1085","{http://www.chubb.com}","http://www.chubb.com",,
"Name","0.0","Name-{top_2000_id_1037+us_companies_id_1489}","top_2000_id_1037+us_companies_id_1489","{AXA Group|USAA Group}","AXA Group",,
"Industry","1.0","Industry-{us_companies_id_1178}","us_companies_id_1178","{Data/Technology}","Data/Technology",,
"Name","0.5","Name-{top_2000_id_1516+us_companies_id_1178}","top_2000_id_1516+us_companies_id_1178","{Fujitsu|Fujitsu}","Fujitsu",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1313+us_companies_id_1459}","top_2000_id_1313+us_companies_id_1459","{29.6|0.0}","0.0",,
"Name","0.5","Name-{top_2000_id_1201+us_companies_id_1412}","top_2000_id_1201+us_companies_id_1412","{SAP|SAP}","SAP",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1212}","us_companies_id_1212","{Not reported by company}","Not reported by company",,
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1035+us_companies_id_1444}","fortune_500_id_1035+us_companies_id_1444","{79.395|0.0}","79.395","true","79.395"
"Website","1.0","Website-{us_companies_id_1086}","us_companies_id_1086","{http://www.citigroup.com/citi/}","http://www.citigroup.com/citi/","true","http://www.citigroup.com/citi/"
"Industry","1.0","Industry-{us_companies_id_1141}","us_companies_id_1141","{Data/Technology}","Data/Technology",,
"Website","1.0","Website-{us_companies_id_1050}","us_companies_id_1050","{http://www.blackrock.com}","http://www.blackrock.com",,
"Assets","0.5","Assets-{fortune_500_id_1035+us_companies_id_1444}","fortune_500_id_1035+us_companies_id_1444","{0.0|0.0}","0.0","true","0.0"
"Assets","1.0","Assets-{top_2000_id_1808+us_companies_id_1364}","top_2000_id_1808+us_companies_id_1364","{0.0|0.0}","0.0",,
"Assets","1.0","Assets-{top_2000_id_1806+us_companies_id_1002}","top_2000_id_1806+us_companies_id_1002","{0.0|0.0}","0.0",,
"Industry","1.0","Industry-{us_companies_id_1419}","us_companies_id_1419","{Energy}","Energy",,
"Website","1.0","Website-{us_companies_id_1459}","us_companies_id_1459","{http://www.telenav.com/}","http://www.telenav.com/",,
"Name","0.0","Name-{top_2000_id_2001+us_companies_id_1072}","top_2000_id_2001+us_companies_id_1072","{CarMax|CARFAX}","CARFAX",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1344+us_companies_id_1470}","top_2000_id_1344+us_companies_id_1470","{32.6|0.0}","0.0","false","32.6"
"Website","1.0","Website-{us_companies_id_1520}","us_companies_id_1520","{http://www.yahoo.com/}","http://www.yahoo.com/",,
"Assets","0.5","Assets-{top_2000_id_1245+us_companies_id_1050}","top_2000_id_1245+us_companies_id_1050","{0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1178}","us_companies_id_1178","{ICT Product and Services, Software licensing, Data analysis for clients, Database licensing}","ICT Product and Services, Software licensing, Data analysis for clients, Database licensing",,
