"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Industry","1.0","Industry-{us_companies_id_1212}","us_companies_id_1212","{Healthcare}","Healthcare",,
"Industry","1.0","Industry-{us_companies_id_1247}","us_companies_id_1247","{Finance & Investment}","Finance & Investment",,
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298}","fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298","{69.62|836.8|0.0}","69.62","true","69.62"
"Marketvalue","0.0","Marketvalue-{top_2000_id_1172+us_companies_id_1066}","top_2000_id_1172+us_companies_id_1066","{45.7|0.0}","0.0","false","45.7"
"Assets","1.0","Assets-{top_2000_id_1495+us_companies_id_1460}","top_2000_id_1495+us_companies_id_1460","{0.0|0.0}","0.0",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1201+us_companies_id_1412}","top_2000_id_1201+us_companies_id_1412","{35.5|0.0}","0.0",,
"Hqcity","1.0","Hqcity-{us_companies_id_1050}","us_companies_id_1050","{Atlanta}","Atlanta",,
"Assets","0.5","Assets-{top_2000_id_2080+us_companies_id_1158}","top_2000_id_2080+us_companies_id_1158","{0.0|0.0}","0.0",,
"Website","1.0","Website-{us_companies_id_1178}","us_companies_id_1178","{http://www.fujitsu.com/us/}","http://www.fujitsu.com/us/",,
"Assets","1.0","Assets-{top_2000_id_2066+us_companies_id_1456}","top_2000_id_2066+us_companies_id_1456","{0.0|0.0}","0.0",,
"Industry","1.0","Industry-{us_companies_id_1489}","us_companies_id_1489","{Finance & Investment}","Finance & Investment",,
"Revenue","0.3333333333333333","Revenue-{fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298}","fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298","{0.0|0.0|0.0}","0.0","true","0.0"
"Assets","0.5","Assets-{top_2000_id_1327+us_companies_id_1085}","top_2000_id_1327+us_companies_id_1085","{0.0|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1212}","us_companies_id_1212","{2005}","2005",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1249}","us_companies_id_1249","{1799}","1799","true","1799"
"Assets","0.6666666666666666","Assets-{fortune_500_id_1016+top_2000_id_1002+us_companies_id_1249}","fortune_500_id_1016+top_2000_id_1002+us_companies_id_1249","{0.0|0.0|0.0}","0.0","true","0.0"
"Assets","0.5","Assets-{top_2000_id_2279+us_companies_id_1303}","top_2000_id_2279+us_companies_id_1303","{0.0|0.0}","0.0",,
"Website","1.0","Website-{us_companies_id_1470}","us_companies_id_1470","{http://thomsonreuters.com/}","http://thomsonreuters.com/","true","http://thomsonreuters.com/"
"Assets","0.5","Assets-{top_2000_id_2533+us_companies_id_1514}","top_2000_id_2533+us_companies_id_1514","{0.0|0.0}","0.0",,
"Revenue","1.0","Revenue-{top_2000_id_1705+us_companies_id_1014}","top_2000_id_1705+us_companies_id_1014","{0.0|0.0}","0.0",,
